2018-10-10T16:56:16.559-0300 D INDEX    [conn2] 	 dropAllIndexes dropping: { v: 2, key: { _id: 1 }, name: "_id_", ns: "DB1.COLLECTION1" }
2018-10-10T16:56:16.559-0300 D STORAGE  [conn2] DB1.COLLECTION1: clearing plan cache - collection info cache reset
2018-10-10T16:56:16.559-0300 D STORAGE  [conn2] 	 dropIndexes done
2018-10-10T16:56:16.559-0300 D STORAGE  [conn2] deleting metadata for DB1.COLLECTION1 @ RecordId(9)
2018-10-10T16:56:16.559-0300 D STORAGE  [conn2] WT drop of  table:index-16--7740425407158427771 res 16
2018-10-10T16:56:16.559-0300 D STORAGE  [conn2] ~WiredTigerRecordStore for: DB1.COLLECTION1
2018-10-10T16:56:16.559-0300 D STORAGE  [conn2] WT drop of  table:collection-15--7740425407158427771 res 16
2018-10-10T16:56:16.559-0300 I COMMAND  [conn2] command DB1.COLLECTION1 command: drop { drop: "COLLECTION1" } numYields:0 reslen:78 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { W: 1 } } } protocol:op_query 0ms
2018-10-10T16:56:16.560-0300 D STORAGE  [conn2] create collection DB1.COLLECTION1 {}
2018-10-10T16:56:16.560-0300 D STORAGE  [conn2] stored meta data for DB1.COLLECTION1 @ RecordId(10)
2018-10-10T16:56:16.626-0300 D STORAGE  [conn2] DB1.COLLECTION1: clearing plan cache - collection info cache reset
2018-10-10T16:56:16.626-0300 D STORAGE  [conn2] create uri: table:index-18--7740425407158427771 config: type=file,internal_page_max=16k,leaf_page_max=16k,checksum=on,prefix_compression=true,block_compressor=,,,,key_format=u,value_format=u,app_metadata=(formatVersion=8,infoObj={ "v" : 2, "key" : { "_id" : 1 }, "name" : "_id_", "ns" : "DB1.COLLECTION1" }),
2018-10-10T16:56:16.691-0300 D STORAGE  [conn2] DB1.COLLECTION1: clearing plan cache - collection info cache reset
